label,sub_type,r,g,b,rg_ratio
Pear,Pear 2,185.75,175.16,158.06,1.0605
Pear,Pear 2,217.98,212.63,195.2,1.0252
Pear,Pear 2,204.88,186.54,173.43,1.0983
Pear,Pear 2,211.59,184.44,182.45,1.1472
Pear,Pear 2,219.34,209.6,193.44,1.0465
Pear,Pear 2,216.73,211.37,193.47,1.0253
Pear,Pear 2,212.03,179.41,179.21,1.1818
Pear,Pear 2,216.15,200.68,189.45,1.0771
Pear,Pear 2,217.14,208.24,185.49,1.0427
Pear,Pear 2,178.57,167.83,148.29,1.064
Pear,Pear 2,215.88,199.36,188.9,1.0829
Pear,Pear 2,195.06,174.72,157.44,1.1164
Pear,Pear 2,216.59,209.63,186.64,1.0332
Pear,Pear 2,201.42,168.25,164.2,1.1972
Pear,Pear 2,211.32,180.19,181.45,1.1728
Pear,Pear 2,211.75,179.01,180.04,1.1829
Pear,Pear 2,199.03,179.42,164.04,1.1093
Pear,Pear 2,211.97,185.57,183.04,1.1422
Pear,Pear 2,216.78,202.42,190.26,1.071
Pear,Pear 2,202.15,167.6,164.55,1.2062
Pear,Pear 2,216.46,209.65,186.53,1.0325
Pear,Pear 2,213.06,206.17,186.32,1.0334
Pear,Pear 2,214.85,208.5,189.83,1.0304
Pear,Pear 2,215.75,210.4,191.9,1.0254
Pear,Pear 2,212.36,179.92,178.87,1.1803
Pear,Pear 2,222.75,217.09,198.1,1.0261
Pear,Pear 2,217.19,208.88,186.83,1.0397
Pear,Pear 2,224.26,218.66,199.01,1.0256
Pear,Pear 2,215.59,208.43,184.76,1.0343
Pear,Pear 2,213.74,207.69,186.82,1.0291
Pear,Pear 2,211.69,179.2,180.36,1.1813
Pear,Pear 2,215.98,199.87,189.13,1.0806
Pear,Pear 2,218.0,210.17,189.24,1.0372
Pear,Pear 2,202.72,192.03,181.88,1.0557
Pear,Pear 2,221.94,215.73,196.67,1.0288
Pear,Pear 2,217.49,210.75,188.21,1.032
Pear,Pear 2,173.7,161.92,134.81,1.0727
Pear,Pear 2,212.14,187.01,183.48,1.1344
Pear,Pear 2,222.67,215.0,194.08,1.0357
Pear,Pear 2,202.51,167.38,163.82,1.2098
Pear,Pear 2,197.07,158.24,153.35,1.2454
Pear,Pear 2,201.87,183.19,168.83,1.1019
Pear,Pear 2,196.61,176.67,160.26,1.1128
Pear,Pear 2,211.2,181.23,181.47,1.1653
Pear,Pear 2,211.42,179.71,181.25,1.1765
Pear,Pear 2,224.02,218.78,199.76,1.024
Pear,Pear 2,206.72,197.18,174.66,1.0484
Pear,Pear 2,210.35,190.12,178.03,1.1064
Pear,Pear 2,214.78,209.23,189.75,1.0265
Pear,Pear 2,212.65,181.06,178.41,1.1745
Pear,Pear 2,217.35,208.32,185.56,1.0433
Pear,Pear 2,201.8,191.17,165.18,1.0556
Pear,Pear 2,205.47,191.28,178.48,1.0742
Pear,Pear 2,213.96,193.39,186.24,1.1064
Pear,Pear 2,211.76,179.73,181.33,1.1782
Pear,Pear 2,194.5,154.66,147.81,1.2576
Pear,Pear 2,220.92,213.35,195.32,1.0355
Pear,Pear 2,201.99,166.95,163.95,1.2099
Pear,Pear 2,211.91,185.32,182.89,1.1435
Pear,Pear 2,207.44,185.95,174.05,1.1155
Pear,Pear 2,210.86,201.68,177.42,1.0455
Pear,Pear 2,198.69,160.58,156.1,1.2373
Pear,Pear 2,217.56,212.22,194.67,1.0252
Pear,Pear 2,208.43,196.02,187.39,1.0633
Pear,Pear 2,214.54,208.77,188.9,1.0277
Pear,Pear 2,223.46,217.02,196.51,1.0297
Pear,Pear 2,223.23,216.14,195.44,1.0328
Pear,Pear 2,202.7,183.46,175.19,1.1049
Pear,Pear 2,206.27,184.95,172.54,1.1153
Pear,Pear 2,193.44,180.3,150.56,1.0729
Pear,Pear 2,216.87,207.54,184.46,1.045
Pear,Pear 2,215.32,209.76,190.7,1.0265
Pear,Pear 2,182.28,170.4,142.52,1.0697
Pear,Pear 2,205.48,185.05,172.16,1.1104
Pear,Pear 2,219.65,210.64,193.73,1.0428
Pear,Pear 2,212.92,206.47,184.29,1.0313
Pear,Pear 2,206.26,185.22,172.59,1.1136
Pear,Pear 2,218.29,212.9,195.94,1.0253
Pear,Pear 2,195.76,156.1,150.1,1.2541
Pear,Pear 2,220.05,211.55,194.2,1.0402
Pear,Pear 2,224.44,219.04,200.15,1.0246
Pear,Pear 2,198.02,159.65,154.92,1.2404
Pear,Pear 2,176.86,166.47,143.98,1.0624
Pear,Pear 2,193.08,172.54,154.48,1.1191
Pear,Pear 2,222.32,214.11,193.12,1.0383
Pear,Pear 2,213.29,203.67,181.29,1.0472
Pear,Pear 2,206.58,185.04,172.74,1.1164
Pear,Pear 2,224.36,218.86,199.63,1.0251
Pear,Pear 2,211.91,179.17,179.71,1.1827
Pear,Pear 2,213.17,197.87,185.93,1.0773
Pear,Pear 2,217.89,205.75,191.67,1.059
Pear,Pear 2,211.78,179.15,179.66,1.1822
Pear,Pear 2,201.98,193.36,163.41,1.0446
Pear,Pear 2,217.24,210.46,187.57,1.0322
Pear,Pear 2,207.17,185.89,173.79,1.1145
Pear,Pear 2,211.23,181.03,181.56,1.1669
Pear,Pear 2,210.96,191.12,179.06,1.1038
Pear,Pear 2,216.99,207.83,184.83,1.0441
Pear,Pear 2,211.31,181.55,181.8,1.1639
Pear,Pear 2,218.33,210.37,189.01,1.0378
Pear,Pear 2,221.24,214.21,195.69,1.0328
Pear,Pear 2,224.22,218.38,198.29,1.0267
Pear,Pear 2,217.76,210.93,188.13,1.0324
Pear,Pear 2,219.08,208.94,193.07,1.0485
Pear,Pear 2,212.26,179.77,178.88,1.1807
Pear,Pear 2,211.59,183.97,182.41,1.1502
Pear,Pear 2,220.36,212.32,194.71,1.0379
Pear,Pear 2,215.07,196.74,187.85,1.0932
Pear,Pear 2,197.89,178.13,162.24,1.1109
Pear,Pear 2,201.14,170.01,164.76,1.1831
Pear,Pear 2,201.05,186.68,172.91,1.077
Pear,Pear 2,223.75,218.45,199.64,1.0243
Pear,Pear 2,203.73,185.25,171.66,1.0997
Pear,Pear 2,217.66,212.27,195.01,1.0254
Pear,Pear 2,212.87,198.66,186.98,1.0715
Pear,Pear 2,223.43,218.15,199.25,1.0242
Pear,Pear 2,209.42,199.88,174.92,1.0478
Pear,Pear 2,224.18,218.48,198.6,1.0261
Pear,Pear 2,204.11,195.69,166.32,1.0431
Pear,Pear 2,216.26,206.59,183.57,1.0468
Pear,Pear 2,207.04,193.17,180.44,1.0718
Pear,Pear 2,202.24,166.8,163.2,1.2125
Pear,Pear 2,216.3,206.61,183.76,1.0469
Pear,Pear 2,198.43,187.88,176.02,1.0562
Pear,Pear 2,200.98,176.08,168.33,1.1414
Pear,Pear 2,180.57,168.69,140.49,1.0704
Pear,Pear 2,209.62,201.76,180.1,1.039
Pear,Pear 2,217.69,210.89,188.23,1.0322
Pear,Pear 2,205.79,187.36,174.56,1.0984
Pear,Pear 2,210.58,202.91,181.8,1.0378
Pear,Pear 2,199.1,187.11,156.5,1.0641
Pear,Pear 2,214.9,207.87,184.57,1.0338
Pear,Pear 2,221.07,213.8,195.54,1.034
Pear,Pear 2,211.46,182.13,181.98,1.161
Pear,Pear 2,207.25,193.26,184.78,1.0724
Pear,Pear 2,223.29,216.45,195.74,1.0316
Pear,Pear 2,192.95,172.48,154.05,1.1187
Pear,Pear 2,211.48,180.82,181.82,1.1696
Pear,Pear 2,194.07,179.47,164.23,1.0813
Pear,Pear 2,223.94,217.72,197.33,1.0285
Pear,Pear 2,210.1,189.58,177.69,1.1082
Pear,Pear 2,208.68,200.43,178.27,1.0411
Pear,Pear 2,213.72,192.51,185.92,1.1101
Pear,Pear 2,177.22,166.78,145.38,1.0626
Pear,Pear 2,217.38,208.82,186.52,1.041
Pear,Pear 2,222.53,214.35,193.49,1.0382
Pear,Pear 2,215.57,210.17,191.49,1.0257
Pear,Pear 2,209.34,188.44,176.61,1.1109
Pear,Pear 2,195.65,175.62,158.65,1.1141
Pear,Pear 2,222.69,214.76,193.83,1.0369
Pear,Pear 2,200.67,174.65,167.09,1.149
Pear,Pear 2,213.81,208.0,187.66,1.0279
Pear,Pear 2,208.78,187.36,175.67,1.1143
Pear,Pear 2,191.71,170.7,151.61,1.1231
Pear,Pear 2,214.17,208.45,188.34,1.0274
Pear,Pear 2,205.63,186.71,173.85,1.1013
Pear,Pear 2,201.4,178.27,170.37,1.1297
Pear,Pear 2,179.3,167.83,149.3,1.0683
Pear,Pear 2,200.64,181.56,166.86,1.1051
Pear,Pear 2,214.35,194.79,186.88,1.1004
Pear,Pear 2,201.77,167.41,164.28,1.2052
Pear,Pear 2,216.22,206.58,183.57,1.0467
Pear,Pear 2,206.6,197.53,174.09,1.0459
Pear,Pear 2,192.77,181.63,155.23,1.0613
Pear,Pear 2,216.84,211.09,193.33,1.0272
Pear,Pear 2,224.23,218.98,199.99,1.024
Pear,Pear 2,222.85,217.39,198.38,1.0251
Pear,Pear 2,211.57,183.21,182.27,1.1548
Pear,Pear 2,212.52,180.69,178.15,1.1761
Pear,Pear 2,211.89,179.31,179.56,1.1817
Pear,Pear 2,213.35,190.78,185.27,1.1183
Pear,Pear 2,224.15,218.73,199.61,1.0248
Pear,Pear 2,200.58,173.22,166.21,1.1579
Pear,Pear 2,212.59,204.93,179.14,1.0374
Pear,Pear 2,201.04,170.48,164.93,1.1793
Pear,Pear 2,201.88,190.71,161.6,1.0586
Pear,Pear 2,205.6,184.59,171.84,1.1139
Pear,Pear 2,211.73,179.75,181.29,1.1779
Pear,Pear 2,213.34,207.13,185.52,1.03
Pear,Pear 2,216.63,211.2,193.19,1.0257
Pear,Pear 2,214.07,207.5,185.14,1.0316
Pear,Pear 2,213.8,207.94,187.3,1.0282
Pear,Pear 2,200.73,191.96,161.96,1.0457
Pear,Pear 2,205.88,185.03,172.3,1.1127
Pear,Pear 2,222.85,215.21,194.34,1.0355
Pear,Pear 2,206.27,184.72,172.35,1.1167
Pear,Pear 2,216.45,209.47,186.39,1.0333
Pear,Pear 2,220.07,211.3,194.19,1.0415
Pear,Pear 2,206.3,198.07,169.5,1.0415
Pear,Pear 2,203.06,191.97,163.66,1.0578
Pear,Pear 2,196.48,181.9,167.18,1.0802
Pear,Pear 2,223.68,218.5,199.57,1.0237
Pear,Pear 2,213.52,207.46,186.26,1.0292
Pear,Pear 2,176.56,166.17,143.25,1.0625
Pear,Pear 2,194.87,154.75,148.35,1.2592
Pear,Pear 2,212.14,179.52,178.97,1.1817
Pear,Pear 2,197.2,186.57,161.4,1.057
Pear,Pear 2,223.11,215.83,195.08,1.0337
Pear,Pear 2,218.06,206.05,191.83,1.0583
Pear,Pear 2,211.37,202.0,179.98,1.0464
Pear,Pear 2,224.25,218.49,198.7,1.0264
Pear,Pear 2,201.4,190.58,179.89,1.0567
Pear,Pear 2,216.0,200.25,189.31,1.0787
Pear,Pear 2,218.08,210.03,188.27,1.0383
Pear,Pear 2,212.57,181.1,178.06,1.1738
Pear,Pear 2,215.98,208.9,185.69,1.0339
Pear,Pear 2,217.15,203.3,190.7,1.0681
Pear,Pear 2,222.57,216.71,197.65,1.027
Pear,Pear 2,212.79,195.6,183.0,1.0879
Pear,Pear 2,217.1,207.81,184.99,1.0447
Pear,Pear 2,224.2,218.8,199.74,1.0247
Pear,Pear 2,198.29,189.33,158.89,1.0473
Pear,Pear 2,217.47,212.12,194.48,1.0252
Pear,Pear 2,215.65,207.59,185.67,1.0389
Pear,Pear 2,205.14,188.54,180.1,1.088
Pear,Pear 2,223.68,218.41,199.68,1.0241
Pear,Pear 2,214.13,207.42,184.58,1.0323
Pear,Pear 2,217.1,208.43,185.77,1.0416
Pear,Pear 2,214.73,205.04,182.23,1.0472
Pear,Pear 2,222.14,213.56,192.6,1.0402
Pear,Pear 2,220.84,213.19,195.16,1.0359
Pear,Pear 2,213.86,207.86,187.27,1.0289
Pear,Pear 2,205.89,196.19,173.59,1.0494
Pear,Pear 2,205.35,184.58,171.7,1.1125
Pear,Pear 2,224.39,219.01,199.93,1.0245
Pear,Pear 2,182.56,171.78,153.15,1.0628
Pear,Pear 2,190.57,169.34,149.76,1.1253
Pear,Pear 2,185.6,173.87,146.43,1.0675
Pear,Pear 2,205.3,184.53,171.61,1.1126
Pear,Pear 2,223.66,216.98,196.49,1.0308
Pear,Pear 2,218.0,210.27,189.35,1.0368
Pear,Pear 2,205.5,187.19,174.26,1.0978
Pear,Pear 2,201.92,180.18,172.02,1.1207
Pear,Pear 2,212.64,188.78,184.24,1.1264
Pear,Pear 2,214.52,206.28,183.73,1.0399
Pear,Pear 2,204.7,193.72,184.29,1.0567
Pear,Pear 2,216.42,208.36,186.81,1.0387
Pear,Pear 2,202.7,192.61,169.05,1.0524
Pear,Pear 2,217.04,207.88,185.05,1.044
Pear,Pear 2,201.48,167.83,164.03,1.2005
Pear,Pear 2,202.49,181.63,173.4,1.1148
Pear,Pear 2,207.29,198.7,175.71,1.0432
Pear,Pear 2,177.28,166.77,144.93,1.063
Pear,Pear 2,212.98,198.06,186.04,1.0753
Pear,Pear 2,206.75,192.43,183.96,1.0745
Pear,Pear 2,174.67,163.31,137.59,1.0695
Pear,Pear 2,217.4,210.47,187.37,1.0329
Pear,Pear 2,221.98,215.96,196.85,1.0279
Pear,Pear 2,191.22,180.68,165.85,1.0583
Pear,Pear 2,215.51,205.8,182.92,1.0472
Pear,Pear 2,215.32,197.56,188.06,1.0899
Pear,Pear 2,205.56,185.79,172.95,1.1064
Pear,Pear 2,203.82,193.88,168.96,1.0513
Pear,Pear 2,193.3,182.93,168.89,1.0567
Pear,Pear 2,212.16,179.46,179.24,1.1822
Pear,Pear 2,215.4,208.48,185.23,1.0332
Pear,Pear 2,179.29,167.67,149.26,1.0693
Pear,Pear 2,213.18,204.71,181.62,1.0414
Pear,Pear 2,208.77,187.56,175.76,1.1131
Pear,Pear 2,211.6,179.66,181.25,1.1778
Pear,Pear 2,175.83,164.8,140.54,1.0669
Pear,Pear 2,196.68,186.27,173.67,1.0559
Pear,Pear 2,221.98,215.78,196.79,1.0287
Pear,Pear 2,217.21,208.3,185.47,1.0428
Pear,Pear 2,212.79,195.33,182.61,1.0894
Pear,Pear 2,221.62,214.96,196.32,1.031
Pear,Pear 2,200.82,176.26,168.42,1.1394
Pear,Pear 2,215.59,209.45,191.12,1.0294
Pear,Pear 2,179.88,167.57,149.47,1.0735
Pear,Pear 2,224.33,219.02,200.13,1.0242
Pear,Pear 2,219.54,209.91,193.6,1.0459
Pear,Pear 2,224.17,218.32,198.35,1.0268
Pear,Pear 2,213.53,203.83,181.28,1.0476
Pear,Pear 2,200.36,163.32,159.24,1.2268
Pear,Pear 2,224.21,218.54,198.82,1.026
Pear,Pear 2,204.44,187.46,179.13,1.0906
Pear,Pear 2,213.51,205.93,180.75,1.0368
Pear,Pear 2,216.73,202.63,190.13,1.0696
Pear,Pear 2,200.12,189.49,178.22,1.0561
Pear,Pear 2,218.33,206.75,192.05,1.056
Pear,Pear 2,211.86,179.08,179.86,1.183
Pear,Pear 2,213.45,197.19,184.78,1.0825
Pear,Pear 2,196.95,177.15,160.81,1.1118
Pear,Pear 2,222.37,216.32,197.34,1.0279
Pear,Pear 2,213.53,203.84,181.03,1.0475
Pear,Pear 2,217.91,205.42,191.65,1.0608
Pear,Pear 2,211.45,179.52,181.15,1.1779
Pear,Pear 2,217.59,209.61,188.35,1.038
Pear,Pear 2,222.77,217.24,198.22,1.0255
Pear,Pear 2,214.97,205.21,182.35,1.0476
Pear,Pear 2,192.17,152.17,143.67,1.2629
Pear,Pear 2,201.52,167.33,164.02,1.2043
Pear,Pear 2,217.61,209.39,187.61,1.0393
Pear,Pear 2,217.02,208.07,185.2,1.043
Pear,Pear 2,220.67,212.84,194.91,1.0368
Pear,Pear 2,217.21,210.25,187.29,1.0331
Pear,Pear 2,206.48,191.42,182.97,1.0787
Pear,Pear 2,223.92,217.88,197.73,1.0277
Pear,Pear 2,213.13,206.77,184.62,1.0308
Pear,Pear 2,191.2,181.62,149.26,1.0527
Pear,Pear 2,222.66,217.0,197.92,1.0261
Pear,Pear 2,194.14,153.83,146.79,1.262
Pear,Pear 2,215.82,210.4,191.98,1.0258
Pear,Pear 2,208.29,186.89,175.04,1.1145
Pear,Pear 2,201.73,166.79,163.78,1.2095
Pear,Pear 2,223.18,217.87,199.08,1.0244
Pear,Pear 2,212.27,187.34,183.62,1.1331
Pear,Pear 2,211.75,179.06,179.93,1.1826
Pear,Pear 2,217.33,211.6,194.18,1.0271
Pear,Pear 2,219.61,210.36,193.67,1.044
Pear,Pear 2,213.03,206.62,184.68,1.0311
Pear,Pear 2,199.03,184.7,170.38,1.0776
Pear,Pear 2,214.6,195.57,187.21,1.0973
Pear,Pear 2,190.64,175.54,159.77,1.086
Pear,Pear 2,201.08,166.64,163.41,1.2067
Pear,Pear 2,218.78,207.7,192.67,1.0534
Pear,Pear 2,217.03,207.81,184.8,1.0444
Pear,Pear 2,174.91,163.76,138.47,1.0681
Pear,Pear 2,200.66,170.98,164.92,1.1736
Pear,Pear 2,223.76,217.46,197.01,1.029
Pear,Pear 2,219.55,210.15,193.6,1.0447
Pear,Pear 2,180.09,167.22,149.39,1.077
Pear,Pear 2,216.22,206.7,183.6,1.046
